epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.14918475,6.247056573756277,1e-05,0.48831776,4.689613277332805
1,0.5966092,3.535248915853747,1.8e-05,0.80700934,1.4351666026165553
2,0.8588898,1.1648384941996586,2.6e-05,0.93516356,0.3508522681762447
3,0.944919,0.35674958054636124,3.4e-05,0.9674066,0.15637551172634817
4,0.9748676,0.14345220836003345,4.2e-05,0.97640187,0.10908726748043293
5,0.98860216,0.06611501755389605,5e-05,0.9781542,0.09564682324690549
6,0.99579394,0.02802991719006153,4.2e-05,0.97943926,0.09463482617089246
7,0.99775416,0.015341389365798165,3.56e-05,0.9809579,0.10054118460424849
8,0.9987278,0.00959454290914378,3.048e-05,0.98247665,0.08678156954977137
9,0.999299,0.005860350790123804,2.6384e-05,0.98294395,0.0945525708006675
10,0.99953264,0.003937924312980594,2.31072e-05,0.9827103,0.09343613995552723
11,0.99970144,0.002801720340088762,2.048576e-05,0.98422897,0.09420642474442883
12,0.99975336,0.0019312011119803011,1.8388608e-05,0.9852804,0.09511188491551602
13,0.9999091,0.0012845228275221742,1.6710886e-05,0.9843458,0.09389380809328202
