epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.06463125,6.548553299961598,1e-05,0.34959164,5.718975371544245
1,0.49986127,4.999873898219831,1.8e-05,0.7622505,3.1108934998025477
2,0.794769,2.515692507762453,2.6e-05,0.8959846,0.8914671053494261
3,0.9245485,0.7760326019414987,3.4e-05,0.9536071,0.2790507357020333
4,0.9718775,0.2367992748580736,4.2e-05,0.9742514,0.12351891546832997
5,0.9910588,0.08049934993195973,5e-05,0.9816243,0.07795569143736479
6,0.99844885,0.023709651339619223,4.2e-05,0.982078,0.07681170468915129
7,0.9993821,0.009535068668042887,3.56e-05,0.9826452,0.0657083539200694
8,0.9997604,0.005094121327581711,3.048e-05,0.9838929,0.0638973294609928
9,0.99974775,0.0031864318136114837,2.6384e-05,0.9846869,0.06087350527928452
10,0.9999748,0.0015138668283961013,2.31072e-05,0.98582125,0.06475360826758034
11,0.9998991,0.0012302461644448969,2.048576e-05,0.98582125,0.05691182460627315
12,0.9999748,0.0006693903241065142,1.8388608e-05,0.98582125,0.0587984686373435
13,0.99998736,0.0005070686848564933,1.6710886e-05,0.9852541,0.057665769497472284
14,1.0,0.0003608682775310465,1.5368709e-05,0.98706895,0.055860102777758595
15,0.99998736,0.0002460960559494983,1.42949675e-05,0.9865018,0.05473622053835301
16,0.9999748,0.00021559588437592624,1.3435973e-05,0.98672867,0.056233658862052435
17,1.0,0.00013405469337722994,1.2748779e-05,0.9857078,0.05818837240865505
18,1.0,0.0001057390746174975,1.2199023e-05,0.9859347,0.05614010160970227
19,0.9999748,0.00010979726764655248,1.1759219e-05,0.9863884,0.056747954545217645
20,1.0,7.637943447213657e-05,1.1407375e-05,0.98706895,0.0583014964203985
