epoch,loss,val_loss
0,2.2995498241327517,0.40939989808318616
1,0.3858187752961241,0.18507833315888583
2,0.16922817924841652,0.1511301181823137
3,0.08243555784878984,0.1195753313517153
4,0.04594110098129379,0.12136890710987022
5,0.02835006492927899,0.09676208868584751
6,0.016761171171730815,0.10566503835467722
7,0.010926778217284388,0.09563327445488531
8,0.006767070591661881,0.0930317365594566
9,0.0062041829912787855,0.08305742593157325
10,0.003702370359114748,0.08068344113077926
11,0.002302135998112339,0.07594617409215086
12,0.0021424571381885907,0.07412496760290951
13,0.0009178815976540733,0.07133250218888473
14,0.00043247346766585066,0.06970153109319861
15,0.0003718445715408905,0.06802605463495028
16,0.00020736748107566864,0.06617764562599947
17,0.00018254501648716279,0.0666759841317729
18,0.00013802136727770377,0.0665380083386083
19,0.0001291967826562107,0.06631258536516521
20,0.00010432548302017823,0.06549094033331011
21,0.00010496384720380166,0.06548068997413112
22,9.776554855715324e-05,0.06704488591034818
23,0.00010505722373529942,0.0667824270588741
24,9.057700017292561e-05,0.06650601151694584
25,8.554226932364814e-05,0.06628986183678875
26,7.865557581962409e-05,0.06640479365331499
