id,landmark_id,conf
xlf1tgh2ih,956,0.9999992847442627
68a3ot4osk,956,0.9999998807907104
si2lek4u0a,956,0.9999997615814209
rmtqxhipnv,956,1.0
2flmjdud0e,956,1.0
ofzf2vdr8t,956,0.999933123588562
c5eyr1qtlq,956,1.0
uzororr3gp,956,0.9999997615814209
z1napvbrb4,956,1.0
7ftlcmeg71,956,1.0
91yduew8v1,956,0.9999994039535522
zfmn7i0tcw,956,0.9999996423721313
0l7w2hjrqr,956,0.9999997615814209
74dgzsbzu7,956,1.0
k1hi7z4r24,956,0.9999996423721313
8ul6yioz2c,956,0.9999998807907104
a2xhuzetw6,956,0.9999998807907104
l3fwnhma61,956,1.0
8loat53nyg,956,1.0
web03zrzye,956,1.0
tk0pnz99s4,956,1.0
1wnqotoimp,956,0.9999996423721313
7piqxfq82o,956,1.0
3imiq63ulp,956,1.0
tfn3ay409f,956,0.9999998807907104
gfhax38jgt,956,1.0
c1z9bt6arr,956,1.0
9f0v13vgl2,956,1.0
dm502nofm0,956,1.0
w15djsm8by,956,1.0
g9mjpt3bz9,956,1.0
bbhsslt43w,956,1.0
cee5fcxm3c,956,1.0
n6nimgmcnv,956,1.0
romghvbtot,956,1.0
5ib2f7ea1i,956,1.0
nb7t8cgsdf,956,1.0
lbz20tfdhk,956,0.9999994039535522
kw9axczqsp,956,0.9999996423721313
hp1uthldqy,956,0.9999861717224121
fhuna05p7l,956,0.9999997615814209
0nx4547fku,956,1.0
bp2dxmnutm,956,0.9999996423721313
qm2krnfr5n,956,0.9999996423721313
w6ps7xnkql,956,0.9999927282333374
5f8i3cwked,956,1.0
yv8n48m81j,956,0.9999996423721313
bsur9dq6a9,956,1.0
orp8044vcw,956,1.0
gnn0issnrm,956,1.0
n6gjdxd3fn,956,0.9999994039535522
io6f6g0703,956,0.9999996423721313
o9fsi7g2lu,956,0.9999998807907104
9ahi5xx9yi,956,1.0
xfqnou9txt,956,0.9999996423721313
i9nn8e5kxs,956,1.0
pqx79i6kkk,956,1.0
7i4czxs2z1,956,1.0
wdjsy3ffht,956,1.0
uf2io7qff1,956,0.9999995231628418
dgbxc4cszy,956,1.0
a6sj4cy5w3,956,1.0
tg6h4jxaun,956,1.0
gazuee5x9l,956,1.0
fjy6fxzwsi,956,1.0
ueou9pu19q,956,1.0
vban43v83d,956,1.0
05or1qtzmm,956,1.0
r875ftqf08,956,0.9999998807907104
yp1afnj3f1,956,0.9999998807907104
ahhgdybl55,956,0.9999996423721313
ka78qycl4n,956,0.9999861717224121
87ph7t1b4k,992,0.9999969005584717
gey8wkrkka,992,1.0
39x0t41hk1,992,1.0
52vbpei53b,992,1.0
kdebh4sqpl,992,1.0
wbbycjc10f,992,1.0
qfv3ljyu4f,992,1.0
7meg1k3nc2,992,1.0
qty227baye,992,1.0
zbea9iz0vs,992,0.9999998807907104
5l59oxl4hb,992,1.0
zob6w68jt3,992,1.0
8vqd35gahc,992,0.9999929666519165
nvbrsvowgw,992,0.9999996423721313
sdtwq07khm,992,0.9999971389770508
uc293bwd5w,992,0.9999992847442627
605r9t5uh7,992,0.9999985694885254
51jj395fyt,992,0.9999998807907104
dfetb95xe8,992,0.9999908208847046
8ln3xx6zdj,992,0.9999983310699463
qgnzwc8rl5,992,0.9999979734420776
dkssqry71d,992,0.9999996423721313
kwmpujz2k6,992,0.9999998807907104
rvu9c2zaxu,992,1.0
507jem278q,992,1.0
l058ludy8k,992,1.0
oz1hxu03sf,992,0.9999983310699463
dg48imz4av,992,1.0
ma6wdocx2u,992,1.0
2l8yy58nsy,992,0.999998927116394
pp7qnucpk7,992,0.999997615814209
mb7tgr1rq0,992,0.9994950294494629
tvwglfve8z,992,0.9997919201850891
e61fw3cbo2,992,0.9998791217803955
trzqd57pa5,992,1.0
j0i8q9kn7v,992,0.9999997615814209
r66t2l1tl0,493,0.9999939203262329
fxxg33v8g5,493,0.999981164932251
mpy5hunjvr,493,0.9998862743377686
vg5mf42zg7,493,0.999858021736145
gu3us7jgpa,493,0.9999992847442627
